Citizenship,2023
India,"139,785"
China,"31,780"
Philippines,"26,965"
Afghanistan,"20,180"
Nigeria,"17,465"
Pakistan,"11,860"
Cameroon,"11,685"
Eritrea,"10,680"
Iran,"10,680"
USA,"10,640"
France,"10,075"
Syria,"9,345"
Hong Kong SAR,"7,535"
Brazil,"7,225"
Vietnam,"6,605"
Morocco,"6,410"
Mexico,"5,735"
Congo,"5,320"
Algeria,"5,245"
Korea,"5,205"
Somalia,"5,170"
Bangladesh,"5,020"
United Kingdom and Overseas Territories,"4,990"
Colombia,"4,660"
Lebanon,"4,555"
Jamaica,"4,340"
Ethiopia,"3,820"
Tunisia,"3,470"
Ukraine,"3,110"
Haiti,"3,015"
Sri Lanka,"2,710"
Ivory Coast,"2,585"
Egypt,"2,515"
Iraq,"2,335"
Turkey,"2,070"
South Africa,"2,065"
Sudan,"2,010"
Russia,"1,770"
Nepal,"1,760"
Ghana,"1,645"
Venezuela,"1,390"
Jordan,"1,265"
Australia,"1,260"
Kenya,"1,230"
Italy,"1,210"
Germany,"1,155"
Mauritius,"1,155"
Stateless,"1,080"
Taiwan,"1,075"
Cuba,"1,040"
Burundi,"1,030"
Japan,"1,015"
Ireland,"1,010"
Portugal,"1,005"
Rwanda,"1,005"
Israel,980
Senegal,930
Ecuador,775
Peru,750
Chile,745
Dominican Republic,735
Palestinian Authority,725
Benin,690
Uganda,680
Togo,675
Albania,655
Spain,655
Yemen,650
Indonesia,630
El Salvador,555
Zimbabwe,555
Belgium,545
Poland,540
Trinidad and Tobago,535
Guinea,520
Argentina,485
Kazakhstan,485
Libya,485
Thailand,485
Guyana,465
Romania,465
Burkina-Faso,435
Mali,435
Netherlands,435
Honduras,430
New Zealand,405
Bahama Islands,400
Malaysia,380
Hungary,370
Central African Republic,350
Madagascar,345
South Sudan,335
Djibouti,310
Greece,310
Serbia,280
Singapore,280
Guatemala,275
Tanzania,275
Nicaragua,270
Barbados,265
Costa Rica,265
Chad,260
Myanmar,260
"Congo, People's Republic of the",250
Azerbaijan,245
Sweden,245
Armenia,240
Angola,235
Saudi Arabia,235
St. Vincent and the Grenadines,235
Georgia,225
Belarus,220
Czech Republic,215
Switzerland,215
St. Lucia,195
Uzbekistan,190
Cambodia,175
Slovak Republic,160
"Kosovo, Republic of",155
Croatia,150
Kyrgyzstan,140
Moldova,140
Bulgaria,135
"Mongolia, People's Republic of",135
Bolivia,130
Mauritania,125
Antigua and Barbuda,120
Fiji,115
Gambia,115
"Niger, Republic of the",105
Sierra Leone,105
Austria,100
Finland,100
Gabon Republic,90
Zambia,90
Liberia,85
Lithuania,85
Bosnia-Herzegovina,80
Macedonia,80
Namibia,80
Uruguay,75
Belize,70
Denmark,70
Grenada,70
Latvia,70
Norway,70
"Panama, Republic of",70
Tajikistan,60
St. Kitts-Nevis,55
Bhutan,50
Dominica,50
Malawi,50
Paraguay,50
Slovenia,45
"Botswana, Republic of",40
Kuwait,40
Turkmenistan,40
Bahrain,30
Macau SAR,30
United Arab Emirates,25
Estonia,20
Laos,20
Oman,20
Swaziland,20
Comoros,15
Iceland,15
"Montenegro, Republic of",15
Mozambique,15
Cyprus,10
Guinea-Bissau,10
Luxembourg,10
Other,10
Surinam,10
Brunei,5
Malta,5
Seychelles,5
Solomon Islands,5